Tue Apr 30 23:32:51 2024    profile_results.prof

         381888991 function calls (379409861 primitive calls) in 5438.124 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.258    3.258 5438.211 5438.211 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:233(main)
        3   68.013   22.671 4703.112 1567.704 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:207(feat_map)
   271558   39.351    0.000 4512.796    0.017 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:144(k_neighs)
   135779   19.134    0.000 4385.916    0.032 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:618(khop_in_subgraph)
6789295/6517698 3711.903    0.001 3770.744    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:202(__call__)
   135779    1.912    0.000 2881.520    0.021 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:26(node_subgraph)
   135779    0.613    0.000 2822.004    0.021 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1020(node_subgraph)
   271558    1.290    0.000  936.724    0.003 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:3344(in_edges)
   271558    3.301    0.000  924.599    0.003 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:612(in_edges)
        1    1.790    1.790  627.276  627.276 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:61(featmap_gen)
77894/77885    0.209    0.000  605.171    0.008 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:229(_require_cuda_context)
   467362  602.636    0.001  603.019    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:324(safe_cuda_api_call)
    77881    0.531    0.000  602.700    0.008 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:242(copy_to_host)
    77881    0.142    0.000  601.939    0.008 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3130(device_to_host)
   407337    1.357    0.000  504.401    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:385(unique)
814674/407337    1.920    0.000  503.044    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\torch\_jit_internal.py:489(fn)
   407337    0.815    0.000  500.114    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:755(_unique_impl)
   407337  499.262    0.001  499.262    0.001 {built-in method torch._unique2}
   271558    0.726    0.000  490.640    0.002 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:985(_return_output)
  1222128  111.359    0.000  111.824    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\object.py:55(__del__)
   271558    1.501    0.000   66.164    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:3030(predecessors)
   407337    2.434    0.000   64.618    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:2878(has_nodes)
        8   10.307    1.288   54.386    6.798 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:109(sparse_to_adjlist)
   950456    5.268    0.000   46.644    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\utils\checks.py:12(prepare_tensor)
6789295/6517698   22.841    0.000   39.419    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:103(_make_dgl_args)
  1765130    0.937    0.000   37.768    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\__init__.py:145(from_dgl_nd)
  1765136    7.475    0.000   36.831    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:465(zerocopy_from_dgl_ndarray)
        8   36.540    4.568   36.540    4.568 {built-in method _pickle.dump}
        3    2.882    0.961   29.984    9.995 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:192(count_risk_neighs)
   407337    0.547    0.000   29.027    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:222(cat)
   407343   28.483    0.000   28.483    0.000 {built-in method torch.cat}
   407337    1.362    0.000   27.145    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:444(has_nodes)
   135779    1.182    0.000   24.777    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:1182(_create_hetero_subgraph)
   135779    0.722    0.000   24.608    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:3089(successors)
  1222020    1.590    0.000   20.895    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:2833(idtype)
  1222020    1.163    0.000   18.677    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:178(dtype)
   245362    0.686    0.000   17.909    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1157(__iter__)
39786658/39786640    7.210    0.000   17.494    0.000 {built-in method builtins.isinstance}
   814683    0.531    0.000   16.887    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\__init__.py:141(to_dgl_nd)
   814689    1.793    0.000   16.383    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:432(zerocopy_to_dgl_ndarray)
   135779    0.520    0.000   16.282    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1194(induced_edges)
   135779   15.919    0.000   15.919    0.000 {built-in method torch.isin}
   135779    0.587    0.000   13.984    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1205(<listcomp>)
17511845/16150714    2.800    0.000   12.027    0.000 {built-in method builtins.len}
   950468    1.144    0.000   11.777    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:5631(device)
   135779    0.990    0.000   11.475    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\utils\internal.py:842(extract_node_subframes)
  5295408    7.910    0.000   11.089    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:206(shape)
    27538    0.360    0.000   10.895    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1195(update)
   135779    0.188    0.000   10.484    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:995(_return_inverse)
    27546    0.169    0.000   10.282    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1322(refresh)
   814689    0.594    0.000   10.210    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:184(from_dlpack)
