Mon Apr 29 22:09:27 2024    profile_results.prof

         124232351 function calls (123790590 primitive calls) in 804.139 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.320    3.320  804.140  804.140 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:233(main)
        1    2.341    2.341  719.885  719.885 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:61(featmap_gen)
77894/77885    0.311    0.000  690.563    0.009 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:229(_require_cuda_context)
   467362  687.731    0.001  688.194    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:324(safe_cuda_api_call)
    77881    0.821    0.000  687.691    0.009 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:242(copy_to_host)
    77881    0.196    0.000  686.611    0.009 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3130(device_to_host)
        8   11.196    1.400   61.556    7.694 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:109(sparse_to_adjlist)
        8   41.846    5.231   41.846    5.231 {built-in method _pickle.dump}
    77881    0.123    0.000   12.870    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:538(__call__)
    77881    0.331    0.000   12.747    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:674(call)
   109580    0.304    0.000   12.003    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1157(__iter__)
    77881    0.660    0.000   10.775    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:301(launch)
109601/109599    1.066    0.000    8.571    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:315(__init__)
    77882    0.288    0.000    8.529    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:1218(iterrows)
    31700    0.047    0.000    7.650    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\util\_decorators.py:302(wrapper)
 44257729    7.183    0.000    7.183    0.000 {method 'add' of 'set' objects}
    31694    0.204    0.000    6.855    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:6216(sort_values)
   389405    2.019    0.000    5.184    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:373(_prepare_args)
        1    0.000    0.000    3.561    3.561 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3297(to_csv)
        1    0.000    0.000    3.561    3.561 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\format.py:1056(to_csv)
        1    0.000    0.000    3.559    3.559 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:232(save)
        1    0.000    0.000    3.557    3.557 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:259(_save)
        1    0.050    0.050    3.557    3.557 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:292(_save_body)
       53    0.002    0.000    3.507    0.066 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:302(_save_chunk)
   155798    0.159    0.000    2.990    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:130(get_or_create_context)
    31698    0.084    0.000    2.884    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:840(take)
   155785    0.874    0.000    2.748    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:146(_get_or_create_context_uncached)
    31694    0.112    0.000    2.684    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:1735(_get_label_or_level_values)
     6881    0.087    0.000    2.627    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1195(update)
    77882    0.190    0.000    2.549    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\codegen.py:182(get_cufunc)
     6886    0.032    0.000    2.479    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1322(refresh)
        2    2.443    1.222    2.443    1.222 {built-in method _pickle.load}
     6891    0.029    0.000    2.354    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1461(display)
    77904    0.059    0.000    2.315    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:216(get_context)
    77889    0.204    0.000    2.278    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1569(from_array)
    77881    0.566    0.000    2.264    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:2537(launch_kernel)
    31699    0.052    0.000    2.255    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:629(reindex_indexer)
    31694    0.041    0.000    2.242    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3634(xs)
    31707    0.072    0.000    2.177    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
    31698    0.140    0.000    2.157    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:680(<listcomp>)
235920/235832    0.100    0.000    2.119    0.000 {built-in method builtins.next}
    31707    0.099    0.000    2.059    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3876(_get_item_cache)
    78027    0.406    0.000    2.005    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
   155788    0.328    0.000    2.002    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:110(ensure_context)
       60    0.002    0.000    1.986    0.033 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:276(apply)
       53    0.000    0.000    1.958    0.037 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:461(to_native_types)
      159    0.002    0.000    1.956    0.012 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:638(to_native_types)
      159    0.042    0.000    1.949    0.012 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2042(to_native_types)
      288    1.912    0.007    1.912    0.007 {method 'astype' of 'numpy.ndarray' objects}
    78081    0.430    0.000    1.906    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1931(new_block)
   233679    0.630    0.000    1.853    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:482(__enter__)
110482/110438    0.073    0.000    1.743    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:114(__enter__)
5795462/5795450    1.047    0.000    1.677    0.000 {built-in method builtins.isinstance}
    77881    0.578    0.000    1.617    0.000 {method '_cuda_call' of '_dispatcher.Dispatcher' objects}
       53    1.499    0.028    1.499    0.028 {pandas._libs.writers.write_csv_rows}
    95097    0.138    0.000    1.398    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1121(take_nd)
    31764    0.039    0.000    1.372    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:573(__init__)
    77881    0.211    0.000    1.354    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
     6891    0.023    0.000    1.313    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:345(print_status)
 22519666    1.296    0.000    1.296    0.000 {method 'append' of 'list' objects}
  1753640    0.801    0.000    1.271    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
        8    0.257    0.032    1.243    0.155 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\sparse\_csc.py:157(nonzero)
    31706    0.127    0.000    1.243    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:977(iget)
   389408    0.169    0.000    1.242    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3068(device_pointer)
        1    0.023    0.023    1.202    1.202 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:469(nested_data_to_arrays)
   311524    0.680    0.000    1.180    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\args.py:56(to_device)
        1    0.001    0.001    1.179    1.179 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:738(to_arrays)
1990117/1579850    0.368    0.000    1.147    0.000 {built-in method builtins.len}
63817/63803    0.116    0.000    1.138    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   173081    0.376    0.000    1.077    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5489(__setattr__)
   389408    0.218    0.000    1.074    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3076(device_ctypes_pointer)
     6891    0.024    0.000    1.049    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:339(fp_write)
    95107    0.082    0.000    1.043    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:54(take_nd)
    77881    0.178    0.000    1.035    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:1034(_get_value)
    13792    0.011    0.000    1.026    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:125(inner)
    31721    0.018    0.000    1.007    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
     6891    0.036    0.000    1.006    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1147(__str__)
     6902    1.004    0.000    1.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    31717    1.000    0.000    1.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    78027    0.233    0.000    0.976    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:673(_try_cast)
       15    0.000    0.000    0.965    0.064 <__array_function__ internals>:177(argsort)
       15    0.000    0.000    0.965    0.064 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1038(argsort)
    95107    0.225    0.000    0.944    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
    35263    0.020    0.000    0.911    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:158(blknos)
     6891    0.191    0.000    0.910    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:352(format_meter)
    31755    0.483    0.000    0.892    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
    31694    0.254    0.000    0.880    0.000 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:343(<listcomp>)
    77901    0.086    0.000    0.858    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:242(__call__)
    31694    0.252    0.000    0.851    0.000 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:345(<listcomp>)
        1    0.000    0.000    0.840    0.840 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:895(_finalize_columns_and_data)
        1    0.000    0.000    0.840    0.840 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:975(_convert_object_array)
        1    0.000    0.000    0.840    0.840 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:997(<listcomp>)
       60    0.001    0.000    0.839    0.014 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:991(convert)
       74    0.837    0.011    0.839    0.011 {pandas._libs.lib.maybe_convert_objects}
    31694    0.237    0.000    0.832    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\sorting.py:343(nargsort)
        1    0.000    0.000    0.825    0.825 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:685(_compile_for_args)
        1    0.000    0.000    0.824    0.824 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:905(compile)
    78158    0.804    0.000    0.804    0.000 {built-in method numpy.array}
     28/1    0.000    0.000    0.797    0.797 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.797    0.797 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:46(__init__)
    77901    0.119    0.000    0.773    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:114(_get_option)
    63392    0.124    0.000    0.724    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:950(take)
    77893    0.395    0.000    0.723    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1483(maybe_infer_to_datetimelike)
    78215    0.220    0.000    0.719    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1890(get_block_type)
        2    0.000    0.000    0.688    0.344 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:491(read_csv)
        2    0.002    0.001    0.688    0.344 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:467(_read)
    20673    0.021    0.000    0.681    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:309(disp_len)
        2    0.000    0.000    0.672    0.336 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1045(read)
