Tue Apr 30 00:40:07 2024    profile_results.prof

         123280698 function calls (122838937 primitive calls) in 653.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.301    3.301  653.347  653.347 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:233(main)
        1    2.147    2.147  573.329  573.329 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:61(featmap_gen)
77894/77885    0.256    0.000  547.998    0.007 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:229(_require_cuda_context)
   467362  545.224    0.001  545.667    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:324(safe_cuda_api_call)
    77881    0.660    0.000  543.856    0.007 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:242(copy_to_host)
    77881    0.169    0.000  542.957    0.007 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3130(device_to_host)
        8   11.265    1.408   57.991    7.249 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:109(sparse_to_adjlist)
        8   38.199    4.775   38.199    4.775 {built-in method _pickle.dump}
    77881    0.100    0.000   11.287    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:538(__call__)
    77881    0.276    0.000   11.187    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:674(call)
   109580    0.238    0.000   10.271    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1157(__iter__)
    77881    0.557    0.000    9.589    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:301(launch)
    31700    0.045    0.000    7.500    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\util\_decorators.py:302(wrapper)
109601/109599    0.941    0.000    7.238    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:315(__init__)
 44257729    7.227    0.000    7.227    0.000 {method 'add' of 'set' objects}
    77882    0.223    0.000    7.132    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:1218(iterrows)
    31694    0.192    0.000    6.731    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:6216(sort_values)
   389405    1.816    0.000    4.726    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:373(_prepare_args)
235920/235832    0.097    0.000    3.496    0.000 {built-in method builtins.next}
   155788    0.311    0.000    3.381    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:110(ensure_context)
        1    0.000    0.000    3.199    3.199 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3297(to_csv)
        1    0.000    0.000    3.199    3.199 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\format.py:1056(to_csv)
        1    0.000    0.000    3.198    3.198 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:232(save)
        1    0.000    0.000    3.197    3.197 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:259(_save)
        1    0.029    0.029    3.196    3.196 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:292(_save_body)
       53    0.001    0.000    3.168    0.060 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:302(_save_chunk)
110482/110438    0.064    0.000    3.164    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:114(__enter__)
   233679    0.578    0.000    3.136    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:482(__enter__)
    31698    0.082    0.000    2.839    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:840(take)
   155798    0.148    0.000    2.675    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:130(get_or_create_context)
    31694    0.111    0.000    2.640    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:1735(_get_label_or_level_values)
        2    2.465    1.232    2.465    1.232 {built-in method _pickle.load}
   155785    0.819    0.000    2.446    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:146(_get_or_create_context_uncached)
     5430    0.070    0.000    2.357    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1195(update)
     5435    0.026    0.000    2.240    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1322(refresh)
    31699    0.051    0.000    2.229    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:629(reindex_indexer)
    77882    0.192    0.000    2.215    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\codegen.py:182(get_cufunc)
    31694    0.040    0.000    2.206    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3634(xs)
    31707    0.068    0.000    2.140    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
     5440    0.021    0.000    2.139    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1461(display)
    31698    0.136    0.000    2.131    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:680(<listcomp>)
    31707    0.099    0.000    2.028    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3876(_get_item_cache)
