Sun Apr 28 19:45:48 2024    profile_results.prof

         1411520288 function calls (1401943756 primitive calls) in 5514.599 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.554    3.554 5514.665 5514.665 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process.py:231(main)
        3   61.436   20.479 4342.465 1447.488 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process.py:205(feat_map)
   271558   32.599    0.000 4165.911    0.015 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process.py:142(k_neighs)
   135779   16.350    0.000 4058.688    0.030 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:618(khop_in_subgraph)
6789295/6517698 3449.259    0.001 3497.233    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:202(__call__)
   135779    1.356    0.000 2783.206    0.020 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:26(node_subgraph)
   135779    0.459    0.000 2737.706    0.020 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1020(node_subgraph)
        1   76.431   76.431 1064.190 1064.190 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process.py:49(featmap_gen)
   271558    0.772    0.000  743.661    0.003 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:3344(in_edges)
   271558    2.201    0.000  734.562    0.003 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:612(in_edges)
   407337    0.845    0.000  477.051    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:385(unique)
814674/407337    1.234    0.000  476.205    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\torch\_jit_internal.py:489(fn)
   407337    0.504    0.000  474.261    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:755(_unique_impl)
   407337  473.721    0.001  473.721    0.001 {built-in method torch._unique2}
   271558    0.503    0.000  465.081    0.002 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:985(_return_output)
  3504645    4.348    0.000  459.117    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\base.py:983(nunique)
  3504645    2.700    0.000  352.750    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:1981(unique)
  3504645    7.063    0.000  350.050    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\base.py:969(unique)
  3504645   15.419    0.000  339.362    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:328(unique)
  1168323    1.759    0.000  251.643    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexing.py:918(__getitem__)
  1168323    2.279    0.000  249.420    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexing.py:1535(_getitem_axis)
  1168215    0.894    0.000  239.262    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexing.py:1512(_get_list_axis)
  1168215    2.839    0.000  238.368    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3620(_take_with_is_copy)
  1168219    4.623    0.000  220.732    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3521(take)
  1199913    3.618    0.000  203.253    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:840(take)
  3536352    9.612    0.000  176.965    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
  3504645  170.777    0.000  170.777    0.000 {method 'unique' of 'pandas._libs.hashtable.StringHashTable' objects}
  3536352   11.093    0.000  160.177    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3876(_get_item_cache)
