Mon Apr 29 14:23:16 2024    profile_results.prof

         1707496710 function calls (1687681137 primitive calls) in 5629.913 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.306    4.306 5629.967 5629.967 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\antifraud_baseline.py:152(main)
        3   61.508   20.503 4341.020 1447.007 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\antifraud_baseline.py:125(feat_map)
   271558   32.333    0.000 4166.115    0.015 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\antifraud_baseline.py:62(k_neighs)
   135779   15.776    0.000 4061.658    0.030 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:618(khop_in_subgraph)
6789295/6517698 3442.008    0.001 3488.605    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:202(__call__)
   135779    1.111    0.000 2872.951    0.021 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:26(node_subgraph)
   135779    0.391    0.000 2830.714    0.021 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1020(node_subgraph)
        1   77.029   77.029 1160.007 1160.007 {featmap_gen_cython.featmap_gen_cython}
   271558    0.755    0.000  642.188    0.002 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:3344(in_edges)
   271558    2.229    0.000  633.261    0.002 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:612(in_edges)
   407337    0.769    0.000  491.921    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:385(unique)
814674/407337    1.208    0.000  491.152    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\torch\_jit_internal.py:489(fn)
   407337    0.461    0.000  489.271    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:755(_unique_impl)
   407337  488.773    0.001  488.773    0.001 {built-in method torch._unique2}
   271558    0.466    0.000  479.864    0.002 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:985(_return_output)
  3504645    3.157    0.000  345.854    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:1981(unique)
  3504645    5.785    0.000  342.696    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\base.py:969(unique)
  3504645   13.317    0.000  333.494    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:328(unique)
  1168323    1.744    0.000  252.905    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexing.py:918(__getitem__)
  1168323    2.363    0.000  250.678    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexing.py:1535(_getitem_axis)
  1168215    0.875    0.000  240.325    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexing.py:1512(_get_list_axis)
  1168215    2.423    0.000  239.450    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3620(_take_with_is_copy)
  8209212   17.335    0.000  230.548    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
  1168219    4.553    0.000  222.599    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3521(take)
  1199913    3.813    0.000  205.101    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:840(take)
  8209212   15.197    0.000  199.978    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3876(_get_item_cache)
  4672868   14.346    0.000  193.395    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:4359(_reduce)
  3504645  168.880    0.000  168.880    0.000 {method 'unique' of 'pandas._libs.hashtable.StringHashTable' objects}
  1199914    2.251    0.000  145.743    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:629(reindex_indexer)
